#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
#GREEK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
baron_greek;Droungarios;;;;;;;;;;;;;x
baron_female_greek;Komissa;;;;;;;;;;;;;x
baron_title_ruler_consort_greek;Droungarios;;;;;;;;;;;;;x
baron_title_ruler_consort_female_greek;Komissa;;;;;;;;;;;;;x
count_greek;Tourmarches;;;;;;;;;;;;;x
count_female_greek;Tourmarchissa;;;;;;;;;;;;;x
count_title_ruler_consort_greek;Tourmarches;;;;;;;;;;;;;x
count_title_ruler_consort_female_greek;Tourmarchissa;;;;;;;;;;;;;x
duke_greek;Doux;;;;;;;;;;;;;x
duke_female_greek;Doukissa;;;;;;;;;;;;;x
duke_title_ruler_consort_greek;Doux;;;;;;;;;;;;;x
duke_title_ruler_consort_female_greek;Doukissa;;;;;;;;;;;;;x
king_greek;Despotes;;;;;;;;;;;;;x
king_female_greek;Despoina;;;;;;;;;;;;;x
king_title_ruler_consort_greek;Despotes;;;;;;;;;;;;;x
king_title_ruler_consort_female_greek;Despoina;;;;;;;;;;;;;x
emperor_greek;Basileus;;;;;;;;;;;;;x
emperor_female_greek;Basilissa;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_greek;Basilissa;;;;;;;;;;;;;x
title_prince_greek;Kaisar;;;;;;;;;;;;;x
title_prince_female_greek;Kaisarissa;;;;;;;;;;;;;x
barony_of_greek;Kastron;;;;;;;;;;;;;x
county_of_greek;Tourma;;;;;;;;;;;;;x
duchy_of_greek;Thema;;;;;;;;;;;;;x
kingdom_of_greek;Despotate of;;;;;;;;;;;;;x
city_baron_greek;Kephale;;;;;;;;;;;;;x
city_count_greek;Archon;;;;;;;;;;;;;x
city_duke_greek;Protarchon;;;;;;;;;;;;;x
city_king_greek;Protodoux;;;;;;;;;;;;;x
city_emperor_greek;Megas Kyrios;;;;;;;;;;;;;x
city_barony_of_greek;Kephalatikion;;;;;;;;;;;;;x
city_county_of_greek;Polis;;;;;;;;;;;;;x
city_duchy_of_greek;Politeia;;;;;;;;;;;;;x
city_kingdom_of_greek;Archipoliteia;;;;;;;;;;;;;x
city_empire_of_greek;Dynasteia;;;;;;;;;;;;;x
temple_count_greek;Episkopos;;;;;;;;;;;;;x
temple_duke_greek;Archiepiskopos;;;;;;;;;;;;;x
vice_royalty_count_greek;Strategos;;;;;;;;;;;;;x
vice_royalty_duke_greek;Strategos;;;;;;;;;;;;;x
vice_royalty_king_greek;Exarchos;;;;;;;;;;;;;x
vice_royalty_duchy_of_byzantine;Thema;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
#SWEDISH,;DANISH;and;NORWEGIAN;;;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
baron_danish;Herra;;;;;;;;;;;;;x
baron_gothic;Herra;;;;;;;;;;;;;x
baron_icelandic;Herra;;;;;;;;;;;;;x
baron_swedish;Herra;;;;;;;;;;;;;x
baron_norwegian;Herra;;;;;;;;;;;;;x
baron_female_danish;Frú;;;;;;;;;;;;;x
baron_female_gothic;Frú;;;;;;;;;;;;;x
baron_female_icelandic;Frú;;;;;;;;;;;;;x
baron_female_swedish;Frú;;;;;;;;;;;;;x
baron_female_norwegian;Frú;;;;;;;;;;;;;x
count_norse;Thane;;;;;;;;;;;;;x
count_danish;Herra;;;;;;;;;;;;;x
count_icelandic;Landnámaður;;;;;;;;;;;;;x
count_gothic;Herra;;;;;;;;;;;;;x
count_swedish;Herra;;;;;;;;;;;;;x
count_norwegian;Lendr maðr;;;;;;;;;;;;;x
count_female_icelandic;Frú;;;;;;;;;;;;;x
count_female_gothic;Frú;;;;;;;;;;;;;x
count_female_danish;Frú;;;;;;;;;;;;;x
count_female_swedish;Frú;;;;;;;;;;;;;x
count_female_norwegian;Frú;;;;;;;;;;;;;x
duke_danish;Jarl;;;;;;;;;;;;;x
duke_icelandic;Jarl;;;;;;;;;;;;;x
duke_gothic;Jarl;;;;;;;;;;;;;x
duke_swedish;Jarl;;;;;;;;;;;;;x
duke_norwegian;Jarl;;;;;;;;;;;;;x
duke_female_danish;Frú;;;;;;;;;;;;;x
duke_female_gothic;Frú;;;;;;;;;;;;;x
duke_female_icelandic;Frú;;;;;;;;;;;;;x
duke_female_swedish;Frú;;;;;;;;;;;;;x
duke_female_norwegian;Frú;;;;;;;;;;;;;x
king_danish;Konungr;;;;;;;;;;;;;x
king_gothic;Konungr;;;;;;;;;;;;;x
king_icelandic;Konungr;;;;;;;;;;;;;x
king_norse;Konungr;;;;;;;;;;;;;x
king_swedish;Konungr;;;;;;;;;;;;;x
king_norwegian;Konungr;;;;;;;;;;;;;x
king_female_norse;Dróttning;;;;;;;;;;;;;x
king_female_icelandic;Dróttning;;;;;;;;;;;;;x
king_female_gothic;Dróttning;;;;;;;;;;;;;x
king_female_danish;Dróttning;;;;;;;;;;;;;x
king_female_swedish;Dróttning;;;;;;;;;;;;;x
king_female_norwegian;Dróttning;;;;;;;;;;;;;x
emperor_icelandic;Keisari;;;;;;;;;;;;;x
emperor_gothic;Keisari;;;;;;;;;;;;;x
emperor_norse;Keisari;;;;;;;;;;;;;x
emperor_danish;Keisari;;;;;;;;;;;;;x
emperor_swedish;Keisari;;;;;;;;;;;;;x
emperor_norwegian;Keisari;;;;;;;;;;;;;x
emperor_female_gothic;Keisaraynja;;;;;;;;;;;;;x
emperor_female_icelandic;Keisaraynja;;;;;;;;;;;;;x
emperor_female_norse;Keisaraynja;;;;;;;;;;;;;x
emperor_female_danish;Keisaraynja;;;;;;;;;;;;;x
emperor_female_swedish;Keisaraynja;;;;;;;;;;;;;x
emperor_female_norwegian;Keisaraynja;;;;;;;;;;;;;x
baron_title_ruler_consort_gothic;Herra;;;;;;;;;;;;;x
baron_title_ruler_consort_icelandic;Herra;;;;;;;;;;;;;x
