#Player/Pretender Empire Dynasties
e_china_tang;Tang;Tang;Tang;;Tang;;;;;;;;;x
e_china_jin;Kim;Kim;Kim;;Kim;;;;;;;;;x
e_china_wei;Ngui;Ngui;Ngui;;Ngui;;;;;;;;;x
e_china_qi;Tsei;Tsei;Tsei;;Tsei;;;;;;;;;x
e_china_zhou;Chiu;Chiu;Chiu;;Chiu;;;;;;;;;x
e_china_han;Han;Han;Han;;Han;;;;;;;;;x
e_china_qin;Ch'in;Ch'in;Ch'in;;Ch'in;;;;;;;;;x
e_china_yan;Ngim;Ngim;Ngim;;Ngim;;;;;;;;;x
e_china_zhao;Ts'ieu;Ts'ieu;Ts'ieu;;Ts'ieu;;;;;;;;;x
e_china_liao;Lieu;Lieu;Lieu;;Lieu;;;;;;;;;x
e_china_yuan;Nguan;Nguan;Nguan;;Nguan;;;;;;;;;x
e_china_xia;H'a;H'a;H'a;;H'a;;;;;;;;;x
e_china_qing;Ts'ieng;Ts'ieng;Ts'ieng;;Ts'ieng;;;;;;;;;x
e_china_dai;Tai;Tai;Tai;;Tai;;;;;;;;;x
e_china_cheng;Tsieng;Tsieng;Tsieng;;Tsieng;;;;;;;;;x
e_china_liang;Ling;Ling;Ling;;Ling;;;;;;;;;x
e_china_song;Sung;Sung;Sung;;Sung;;;;;;;;;x
e_china_ming;Ming;Ming;Ming;;Ming;;;;;;;;;x
e_china_shu;Tsuk;Tsuk;Tsuk;;Tsuk;;;;;;;;;x
e_china_wu;Ngo;Ngo;Ngo;;Ngo;;;;;;;;;x
e_china_chu;Ch'iu;Ch'iu;Ch'iu;;Ch'iu;;;;;;;;;x
e_china_yue;Huêt;Huêt;Huêt;;Huêt;;;;;;;;;x
e_china_yin;Yin;Yin;Yin;;Yin;;;;;;;;;x
e_china_shun;Jun;Jun;Jun;;Jun;;;;;;;;;x
#Chinese Empire Dynasties
tang_china;Tang;Chine Tang;Tang;;Tang;;;;;;;;;x
jin_china;Kim;Chine Kim;Kim;;Kim;;;;;;;;;x
wei_china;Ngui;Chine Ngui;Ngui;;Ngui;;;;;;;;;x
qi_china;Tsei;Chine Tsei;Tsei;;Tsei;;;;;;;;;x
zhou_china;Chiu;Chine Chiu;Chiu;;Chiu;;;;;;;;;x
han_china;Han;Chine Han;Han;;Han;;;;;;;;;x
qin_china;Ch'in;Chine Ch'in;Ch'in;;Ch'in;;;;;;;;;x
yan_china;Ngim;Chine Ngim;Ngim;;Ngim;;;;;;;;;x
zhao_china;Ts'ieu;Chine Ts'ieu;Ts'ieu;;Ts'ieu;;;;;;;;;x
liao_china;Lieu;Chine Lieu;Lieu;;Lieu;;;;;;;;;x
yuan_china;Nguan;Chine Nguan;Nguan;;Nguan;;;;;;;;;x
xia_china;H'a;Chine H'a;H'a;;H'a;;;;;;;;;x
qing_china;Ts'ieng;Chine Ts'ieng;Ts'ieng;;Ts'ieng;;;;;;;;;x
dai_china;Tai;Chine Tai;Tai;;Tai;;;;;;;;;x
cheng_china;Tsieng;Chine Tsieng;Tsieng;;Tsieng;;;;;;;;;x
liang_china;Ling;Chine Ling;Ling;;Ling;;;;;;;;;x
song_china;Sung;Chine Sung;Sung;;Sung;;;;;;;;;x
ming_china;Ming;Chine Ming;Ming;;Ming;;;;;;;;;x
shu_china;Tsuk;Chine Tsuk;Tsuk;;Tsuk;;;;;;;;;x
wu_china;Ngo;Chine Ngo;Ngo;;Ngo;;;;;;;;;x
chu_china;Ch'iu;Chine Ch'iu;Ch'iu;;Ch'iu;;;;;;;;;x
yue_china;Huêt;Chine Huêt;Huêt;;Huêt;;;;;;;;;x
yin_china;Yin;Chine Yin;Yin;;Yin;;;;;;;;;x
shun_china;Jun;Chine Jun;Jun;;Jun;;;;;;;;;x
mongol_china;Yeke Mongol Ulus;Yeke Mongol Ulus;Yeke Mongol Ulus;;Yeke Mongol Ulus;;;;;;;;;x
